pos_A,ratio_peak_speed,pos_D,formation_offensiveness,is_home_int,subbed_int,ratio_shots_top_third,jersey_number,minute_in,ratio_distance,cumul_mean_max_speed
1,3.0,0,19,0,1,0.0,7,1,1.0744335606038051,6.524
0,2.983425414364641,0,19,0,1,0.0,8,1,0.7245855948364384,6.372
1,2.969581749,0,19,0,0,0.0,9,1,0.9210072438771992,6.869
0,2.8233128834355825,1,19,0,0,0.0,11,1,1.3617425366490594,6.501
0,3.0,1,19,0,1,0.0,16,1,1.4828905652126376,6.626
0,3.0,0,19,0,1,0.0,17,1,0.61663065,6.671
1,2.924743443557583,0,19,0,0,0.0,19,1,0.94576659,6.855
0,4.0,1,18,1,1,0.0,2,1,0.6343655796108523,6.46
0,3.980582524271844,1,18,1,0,0.0,3,1,0.9265275045999618,6.773
0,3.2638700947225985,0,18,1,0,0.0,4,1,0.3522929177068573,6.331
0,3.4538922155688625,1,18,1,0,0.0,5,1,0.7270216622076464,6.443
0,4.0,1,18,1,0,0.0,6,1,0.909418880203728,6.662
0,3.7985611510791366,0,18,1,0,0.0,7,1,0.7672235184321046,6.534
1,3.688679245283019,0,18,1,1,0.0,10,1,1.0549592707133182,6.498
0,3.5561357702349867,0,18,1,1,0.0,11,1,0.9067015101640826,6.491
0,3.758323057953144,0,18,1,0,0.0,14,1,1.0864555361379875,6.707
1,3.3117831074035458,0,18,1,1,0.0,17,1,1.004989379044608,7.026
0,4.0,0,19,0,0,0.0,5,1,1.2346359876138595,6.43
0,4.0,1,19,0,0,0.0,6,1,1.5251754341033652,6.419
1,3.768250289687138,0,19,0,1,0.0,7,1,0.8851896503755913,6.618
0,3.895027624309392,0,19,0,1,0.0,8,1,0.7943570903747244,6.351
1,3.858048162230672,0,19,0,0,4.0,9,1,0.5755859217697119,6.842
1,1.0,0,19,0,0,0.0,10,46,1.0,6.572
0,3.877300613496932,1,19,0,0,0.0,11,1,0.8123728893723691,6.481
0,3.714609286523216,1,19,0,1,0.0,16,1,1.440358200601665,6.656
1,3.6989737742303306,0,19,0,0,0.0,19,1,0.7180407209612817,6.776
0,1.0,0,19,0,0,0.0,20,46,1.0,6.523
0,4.516324062877872,1,18,1,1,0.0,2,1,1.2083584446892082,6.471
0,4.617718446601941,1,18,1,0,0.0,3,1,0.902467242096506,6.763
0,4.533152909336942,0,18,1,0,0.0,4,1,0.7418261219329999,6.344
0,4.167664670658683,1,18,1,0,5.0,5,1,0.8672159212497326,6.413
0,3.998786408,1,18,1,0,0.0,6,1,0.2820144845309214,6.627
0,5.0,0,18,1,0,0.0,7,1,1.4261890467613902,6.643
0,0.8666666666666667,0,18,1,0,0.0,8,63,0.8666666666666667,6.27
1,0.8666666666666667,0,18,1,0,0.8666666666666667,9,63,0.8666666666666667,6.491
0,4.386422976501305,0,18,1,1,1.6666666666666667,11,1,0.8119001515406634,6.445
0,4.963008631,0,18,1,0,5.0,14,1,0.3253765840439945,6.697
0,0.9333333333333332,1,19,0,0,0.0,2,62,0.9333333333333336,6.688
